iter	Passed	Remaining
0	0	608
1	1	751
2	2	779
3	3	855
4	4	878
5	5	875
6	6	873
7	6	866
8	7	856
9	8	852
10	9	846
11	10	846
12	11	840
13	11	835
14	12	802
15	13	803
16	13	804
17	14	802
18	15	800
19	16	798
20	17	798
21	17	797
22	18	795
23	19	804
24	20	805
25	21	793
26	22	792
27	22	791
28	23	793
29	24	792
30	25	792
31	26	791
32	27	791
33	27	790
34	28	790
35	29	794
36	30	793
37	30	784
38	31	783
39	32	783
40	33	783
41	34	777
42	34	777
43	35	778
44	36	780
45	37	779
46	38	779
47	39	778
48	40	778
49	40	778
50	41	777
51	42	778
52	43	776
53	44	775
54	45	775
55	45	775
56	46	774
57	47	772
58	48	772
59	49	771
60	50	771
61	50	770
62	51	769
63	52	770
64	53	765
65	54	764
66	54	763
67	55	755
68	55	754
69	56	754
70	57	753
71	58	753
72	59	752
73	60	751
74	60	751
75	61	750
76	62	750
77	63	750
78	64	749
79	65	748
80	65	747
81	66	746
82	67	745
83	68	746
84	69	745
85	70	745
86	70	744
87	71	743
88	72	743
89	73	743
90	74	743
91	75	742
92	76	741
93	76	740
94	77	739
95	78	739
96	79	738
97	80	737
98	80	736
99	81	735
100	82	735
101	83	731
102	83	731
103	84	730
104	85	730
105	86	730
106	87	728
107	88	728
108	89	727
109	89	727
110	90	726
111	91	727
112	92	725
113	93	724
114	94	724
115	95	724
116	95	721
117	96	720
118	97	720
119	98	720
120	99	719
121	99	715
122	100	716
123	101	716
124	102	715
125	103	715
126	103	714
127	104	713
128	105	712
129	106	711
130	107	711
131	107	710
132	108	709
133	109	708
134	110	707
135	111	707
136	112	706
137	112	705
138	113	704
139	114	704
140	115	703
141	115	699
142	116	698
143	117	698
144	118	698
145	119	697
146	120	696
147	120	695
148	121	694
149	122	694
150	123	693
151	124	692
152	124	691
153	125	691
154	126	690
155	127	689
156	128	689
157	129	688
158	130	687
159	130	687
160	131	686
161	132	685
162	133	684
163	134	684
164	135	683
165	135	682
166	136	682
167	137	682
168	138	681
169	139	680
170	140	679
171	141	679
172	141	678
173	142	678
174	143	677
175	144	676
176	145	675
177	145	672
178	146	672
179	147	671
180	148	670
181	149	669
182	149	669
183	151	672
184	152	671
185	153	671
186	154	670
187	154	669
188	155	668
189	156	667
190	157	666
191	158	666
192	159	666
193	160	665
194	161	664
195	161	664
196	162	663
197	163	662
198	164	662
199	165	662
200	166	662
201	167	662
202	168	662
203	169	661
204	170	661
205	171	660
206	172	659
207	173	658
208	173	657
209	174	656
210	175	656
211	176	655
212	177	654
213	177	653
214	178	652
215	179	651
216	180	650
217	181	649
218	181	648
219	182	648
220	184	648
221	185	648
222	185	647
223	186	646
224	187	645
225	188	645
226	189	644
227	190	643
228	191	643
229	191	642
230	192	641
231	193	641
232	194	640
233	195	639
234	196	639
235	197	638
236	198	637
237	198	637
238	200	637
239	201	636
240	201	635
241	202	635
242	203	634
243	204	633
244	205	632
245	205	631
246	206	630
247	207	629
248	208	628
249	210	630
250	210	629
251	211	628
252	212	627
253	213	627
254	214	626
255	215	625
256	216	625
257	217	625
258	218	624
259	219	623
260	219	622
261	220	621
262	221	620
263	222	620
264	223	619
265	224	618
266	224	617
267	225	616
268	226	615
269	227	615
270	228	614
271	229	613
272	230	612
273	230	610
274	231	609
275	232	609
276	233	608
277	234	608
278	234	607
279	235	606
280	236	605
281	237	604
282	238	603
283	239	602
284	239	602
285	240	601
286	241	600
287	242	599
288	243	598
289	244	597
290	244	596
291	245	596
292	246	595
293	247	594
294	248	594
295	249	594
296	250	593
297	251	592
298	252	591
299	253	590
300	253	589
301	254	588
302	255	587
303	256	586
304	257	585
305	258	585
306	258	584
307	259	583
308	260	582
309	261	581
310	262	580
311	263	580
312	263	579
313	264	578
314	265	578
315	266	577
316	267	576
317	268	575
318	269	574
319	270	573
320	270	573
